Campaign,Course,Market,Channel,Tag source,Launch date,Age (days),Display name,Campaign ID,Aliases
120242923925720131,Others,Others,Other/Non-Meta,others,,,Others,,
24062196367,Others,Others,Other/Non-Meta,others,,,Others,,
allindiaphonics1,English,India,Meta,parsed-keyword,,,allindiaphonics1,,
Bangalore - Contacts - 16072025,English,India,Meta,tagging sheet,15 Jul 2025,418,Bangalore - Contacts - 16072025,,
Bangladesh-BTG-02092024,English,BDG,Meta,tagging sheet,01 Sep 2024,735,Bangladesh-BTG-02092024,,
Bangladesh-BTG-English-08022025,English,BDG,Meta,tagging sheet,07 Feb 2025,576,Bangladesh-BTG-English-08022025,,
Bangladesh-Math-06112024,Math/Science,BDG,Meta,parsed-keyword,05 Nov 2024,670,Bangladesh-Math-06112024,,
Bangladesh-Unbox-Lookalike-02122025,English,BDG,Meta,tagging sheet,01 Dec 2025,279,Bangladesh-Unbox-Lookalike-02122025,,
Bangladesh_YLC_Shadow,Others,Others,Other/Non-Meta,others,,,Others,,
BDG - Unbox - 05022026,English,BDG,Meta,tagging sheet,04 Feb 2026,214,BDG - Unbox - 05022026,,
bgd_ph_new_ap_new,English,BDG,Meta,tagging sheet,,,bgd_ph_new_ap_new,,
bgdycppnew,English,BDG,Meta,tagging sheet,,,bgdycppnew,,
Canada-BTG-02092024,Gita,INT,Meta,tagging sheet,01 Sep 2024,735,Canada-BTG-02092024,,
EU-New-11092024,Gita,INT,Meta,tagging sheet,10 Sep 2024,726,EU-New-11092024,,
Europe-Interests-06022026-schedule,Gita,INT,Meta,tagging sheet,05 Feb 2026,213,Europe-Interests-06022026-schedule,,
Fitness Class,Others,Others,Other/Non-Meta,others,,,Others,,
GE_AA_ABO_CreativeTest_India_All__04/06/2026,All Courses,India,Meta,tagging sheet,03 Jun 2026,95,GE_AA_ABO_CreativeTest_India_All__04/06/2026,,
GE_AA_ABO_Registration_India_All Courses_BAU_17/07/2026,All Courses,India,Meta,tagging sheet,16 Jul 2026,52,GE_AA_ABO_Registration_India_All Courses_BAU_17/07/2026,,
